firstName,lastName,birthday,language,location
Kofi,Ghanaba,1984-08-26,English,Canada
Mel,Giedroyc,1957-10-19,Korean,Canada
Melissa,McCarthy,1988-11-27,English,Japan
Luna,Wedler,1954-01-13,English,United States
Adam,Sandler,1977-07-07,English,China
Keri,Russell,1992-07-21,Spanish,Spain
Liam,Hemsworth,1971-09-08,Korean,Japan
Billy,Magnussen,1995-07-19,French,Canada
Roy,Scheider,1992-07-19,English,United States
Dennis,Quaid,1953-06-12,German,China
Lorraine,Gary,1971-06-09,Korean,Canada
Denzel,Washington,1980-05-22,Korean,Germany
Kappei,Yamaguchi,1955-12-27,Chinese,Canada
Junko,Takeuchi,1969-09-14,English,United States
Sola,Sobowale,1989-11-11,Spanish,Japan
Mary,Elizabeth,1969-10-25,English,United States
Funke,Akindele,1996-02-10,Chinese,Canada
Emma,Roberts,1997-11-16,Japanese,Canada
Will,Arnett,1987-10-26,German,Canada
Ronnie,Van,1976-05-30,English,United States
Antony,Varghese,1953-09-17,Korean,Canada
Mandy,Grace,1997-02-20,English,Canada
Madhuri,Dixit,1975-11-12,Japanese,Spain
Abbie,Cornish,1999-02-11,French,France
Krrish,Chhabria,2000-09-07,English,Korea
Akshay,Oberoi,1950-04-01,Japanese,United States
Meg,Ryan,1968-12-12,German,United States
Aadil,Khan,1996-05-03,English,Canada
Hilary,Duff,1998-11-16,Chinese,Korea
Robert,Redford,1953-08-23,Japanese,France
Harrison,Ford,1993-10-01,Korean,China
Sharlto,Copley,1963-10-28,French,United States
Sylvester,Stallone,1986-01-21,Spanish,Canada
Jude,Law,1952-01-07,English,United States
Paul,Hogan,1990-08-18,Spanish,France
Channing,Tatum,1960-03-08,Spanish,Spain
Danny,Aiello,1957-01-11,German,Germany
Joaquín,Furriel,1971-09-24,German,Spain
Bruce,Willis,1969-03-08,Spanish,Spain
Hilary,Swank,1987-01-04,French,United States
Ryan,Reynolds,1984-09-26,English,Korea
Christopher,Reid,2001-05-29,Chinese,Germany
Master,P,1972-09-03,Korean,United States
Omar,Epps,1961-09-21,Chinese,Japan
Jay,Chou,1969-11-20,Japanese,Korea
Jai,Brooks,1953-12-03,German,United States
David,Bowie,1998-12-20,Chinese,United States
Amanda,Seyfried,1982-04-15,English,France
Katie,Douglas,2002-10-25,English,United States
Nick,Cannon,1984-06-20,Korean,Spain
Miriam,Chin,1981-10-21,Chinese,China
Jack,Nicholson,1973-11-22,Chinese,United States
Chadwick,Boseman,1965-01-21,Chinese,France
Ashton,Kutcher,1989-03-02,Japanese,Germany
Ben,Stiller,1959-05-10,German,United States
Robert,De,1951-09-18,Chinese,Spain
Joel,McHale,1968-03-26,Spanish,Canada
Chris,Rock,1955-03-12,Spanish,Canada
Josh,Lucas,1975-07-30,English,United States
Too,$hort,1961-07-21,Chinese,Spain
Greg,Kinnear,1974-01-10,German,Korea
Jack,Black,1987-08-18,English,United States
Tyler,Oakley,1960-12-02,English,Spain
Brooke,Shields,1980-12-07,French,United States
Eddie,Murphy,1973-06-23,English,Germany
Gregory,Peck,1950-11-26,English,Canada
James,Franco,1968-08-21,German,Canada
Martin,Lawrence,1993-12-30,Japanese,United States
Clint,Eastwood,1950-02-18,French,United States
Ramzy,Bedia,1988-03-13,English,United States
Satya,Dev,1986-02-16,Spanish,Japan
Jeremy,Renner,2002-02-18,German,Japan
Mithun,Chakraborty,1995-09-12,Chinese,France
Sanjay,Dutt,1995-09-01,Japanese,Spain
Aftab,Shivdasani,1996-05-06,French,Spain
Sohail,Khan,1968-04-01,Spanish,Canada
Tusshar,Kapoor,1950-02-24,Chinese,Spain
Nushrat,Bharucha,1966-08-05,Korean,France
Vivek,Oberoi,1998-06-19,German,United States
Ajay,Devgn,1957-04-24,Spanish,Canada
Akshay,Kumar,1971-12-04,Spanish,Japan
Kainaz,Motivala,1958-07-07,French,China
Sunny,Leone,1984-12-29,Chinese,United States
Amitabh,Bachchan,1964-03-21,English,China
Sendhil,Ramamurthy,1953-04-25,Korean,Germany
Vidya,Balan,1981-10-17,German,United States
Kofi,Siriboe,1961-06-29,English,China
Pierce,Brosnan,2000-10-25,Korean,Canada
Brigitte,Kali,1991-08-01,Japanese,Canada
David,Oyelowo,1991-07-10,French,United States
Jason,Momoa,1980-04-15,Spanish,United States
Anton,Yelchin,1984-12-20,Chinese,Japan
Arvind,Swamy,1956-11-10,English,Germany
Anmol,Limbu,1955-06-11,Korean,China
Elizabeth,Banks,1989-07-13,English,Spain
Holly,Hunter,1951-11-06,Korean,Canada
John,David,1970-10-01,German,Korea
Finnegan,Oldfield,1992-07-04,French,China
Diana,Gómez,1953-03-27,Japanese,United States
Lokillo,Florez,1973-12-30,Korean,Japan
Ben,Rausch,1973-09-26,English,Korea
Mike,Ezuruonye,1994-01-14,Spanish,Japan
Ximena,Romo,1974-11-12,English,United States
Joey,King,1985-07-02,Japanese,Canada
Colin,Firth,1965-12-19,Chinese,Canada
Maggie,Smith,1970-05-19,English,United States
