awardName,2015-07-04,firstName,lastName,birthday
Actor In A Supporting Role - Television Series,2010-11-07,Kofi,Ghanaba,1984-08-26
Actress In A Leading Role,2010-11-05,Mel,Giedroyc,1957-10-19
Actor In A Television Series - Drama,2013-04-15,Melissa,McCarthy,1988-11-27
Actor In A Leading Role - Drama Series Or Television Movie,2016-01-20,Luna,Wedler,1954-01-13
Actress In A Leading Role,2001-03-18,Adam,Sandler,1977-07-07
Actress In A Leading Role,2011-06-19,Keri,Russell,1992-07-21
Actress In A Leading Role - Drama Series Or Television Movie,2015-10-29,Liam,Hemsworth,1971-09-08
Actor In A Leading Role,2007-05-06,Billy,Magnussen,1995-07-19
Actor In A Leading Role - Musical Or Comedy Series Or Television Movie,2021-12-03,Roy,Scheider,1992-07-19
Actor In A Supporting Role - Series Or Television Movie,2002-08-28,Dennis,Quaid,1953-06-12
Actress In A Supporting Role - Television Series,2007-11-23,Lorraine,Gary,1971-06-09
Actor In A Leading Role,2018-12-13,Denzel,Washington,1980-05-22
Actress In A Leading Role - Drama Series Or Television Movie,2005-10-29,Kappei,Yamaguchi,1955-12-27
Actor In A Supporting Role - Television Series,2011-11-27,Junko,Takeuchi,1969-09-14
Actor In A Television Series - Drama,2018-12-12,Sola,Sobowale,1989-11-11
Actress In A Leading Role - Musical Or Comedy,2012-04-08,Mary,Elizabeth,1969-10-25
Actor In A Leading Role - Drama Series Or Television Movie,2014-03-19,Funke,Akindele,1996-02-10
Actor In A Television Series - Musical Or Comedy,2015-05-15,Emma,Roberts,1997-11-16
Actor In A Television Series - Drama,2004-08-24,Will,Arnett,1987-10-26
Actor In A Leading Role,2020-01-01,Ronnie,Van,1976-05-30
Actor In A Supporting Role - Series Or Television Movie,2013-04-30,Antony,Varghese,1953-09-17
Actor In A Television Series - Musical Or Comedy,2014-07-27,Mandy,Grace,1997-02-20
Actor In A Supporting Role - Series Or Television Movie,2019-12-25,Madhuri,Dixit,1975-11-12
Actor In A Leading Role - Musical Or Comedy Series Or Television Movie,2009-09-19,Abbie,Cornish,1999-02-11
Actor In A Supporting Role - Television Series,2013-07-09,Krrish,Chhabria,2000-09-07
Actress In A Leading Role,2001-08-14,Akshay,Oberoi,1950-04-01
Actor In A Leading Role - Drama Series Or Television Movie,2018-03-23,Meg,Ryan,1968-12-12
Actress In A Supporting Role - Television Series,2002-04-23,Aadil,Khan,1996-05-03
